t,a,b,rho,m,sigma,ATM_IV,viol,a_ema,b_ema,rho_ema,m_ema,sigma_ema,rho_clipped
12,0.012315947930183566,0.07044576219095387,-0.3559847765863332,0.049940337092194045,0.16720029956268065,0.21951729010830412,0,0.009144642540637241,0.0787137698476853,-0.21129032896218758,0.09528742596283368,0.18130225692297972,12
13,0.0035578231668319804,0.10151567625027555,-0.024746045887747398,0.09085299762110825,0.18823120708224628,0.2195448846082656,0,0.00802727866587619,0.08327415112820336,-0.20129032896218757,0.0944005402944886,0.18268804695483304,13
14,0.010085462062401272,0.07798493497514118,-0.25365922811548663,0.05469107645353584,0.17322678201826108,0.2190468724392089,0,0.008438915345181206,0.08221630789759092,-0.21129032896218758,0.08645864752629806,0.18079579396751866,14
15,0.013631420080846038,0.07003168374667422,-0.4145343131858125,0.04015738842123663,0.15003834049342968,0.22136930708213984,0,0.009477416292314174,0.07977938306740759,-0.2212903289621876,0.07719839570528578,0.17464430327270086,15
16,0.008684562360511041,0.08587339960891321,-0.22990984661009706,0.054389654201569965,0.17075853610446484,0.21604960836472661,0,0.009318845505953547,0.08099818637570873,-0.2230142324917695,0.07263664740454262,0.17386714983905366,15
17,0.011636842820893271,0.08206784448829564,-0.08946479258342281,0.10233223403556982,0.13396591709404346,0.22059550025068947,0,0.009782444968941493,0.08121211799822611,-0.2130142324917695,0.07857576473074807,0.16588690329005162,16
18,0.002858712444739243,0.08469508973651976,-0.08561512626826412,0.1198064224849742,0.24208199824923632,0.21907199496317736,0,0.008397698464101044,0.08190871234588486,-0.20301423249176953,0.08682189628159329,0.18112592228188856,17
19,0.013379077430853594,0.0746529698380907,-0.36149745906212977,0.017310320057315982,0.1478269333419247,0.22058298483168481,0,0.009393974257451556,0.08045756384432604,-0.21301423249176954,0.07291958103673782,0.1744661244938958,18
20,0.007536804321311894,0.08215434187629053,-0.14371793425214086,0.09286433207430486,0.18625805225489972,0.22137191395020217,0,0.009022540270223624,0.08079691945071893,-0.20301423249176956,0.07690853124425123,0.1768245100460966,19
21,0.013184358112510078,0.07917282266461037,0.046846265778399114,0.13831650446929977,0.11975082240752075,0.21778726517495997,0,0.009854903838680915,0.08047210009349723,-0.19301423249176955,0.08919012588926095,0.1654097725183814,20
22,0.013576154983728727,0.08171297923805532,-0.050011631576933696,0.10297765747564182,0.10653986106404524,0.21857001369561335,0,0.010599154067690478,0.08072027592240885,-0.18301423249176954,0.09194763220653714,0.1536357902275142,21
23,0.013328864562957283,0.06994769146339827,-0.18353060375716693,0.08943719409390885,0.14171465797922497,0.22241548866475191,0,0.011145096166743838,0.07856575903060674,-0.18311750674484903,0.09144554458401148,0.15125156377785637,21
24,0.010167528077927087,0.08324280147178145,-0.12496431031858499,0.08999915215665515,0.1480849604554042,0.22130227532296257,0,0.010949582548980487,0.07950116751884169,-0.17311750674484905,0.09115626609854022,0.15061824311336594,22
25,0.003072603176917486,0.11387401681354264,0.14130716425161188,0.12812405984050154,0.16608914657624396,0.22004311960066705,0,0.009374186674567887,0.08637573737778188,-0.16311750674484907,0.09854982484693248,0.15371242380594155,23
26,0.007096425190518711,0.0862879904270278,-0.09771772784828638,0.09145579790878375,0.18968805328302457,0.21988640408479818,0,0.008918634377758052,0.08635818798763106,-0.15311750674484909,0.09713101945930275,0.16090754970135818,24
27,0.01516766850589141,0.07809903755467727,-0.04518839055152587,0.10325383833740372,0.08275775890527928,0.21766359008042768,0,0.010168441203384724,0.08470635790104031,-0.1431175067448491,0.09835558323492294,0.1452775915421424,25
28,0.007082444467303909,0.0996635034409062,-0.11102730941464205,0.06281550736116882,0.13903761763038408,0.21677781969548987,0,0.009551241856168562,0.0876977870090135,-0.1366994672788077,0.09124756806017212,0.14402959675979074,25
29,0.0075420388765230825,0.09437598416181393,0.17222372394112248,0.16797847317548725,0.16011869563585512,0.21833016723991608,0,0.009149401260239467,0.08903342643957358,-0.1266994672788077,0.10659374908323516,0.14724741653500362,26
30,0.009019104600152482,0.07956709256395687,-0.08815740482368839,0.10984617867367508,0.17544688435785602,0.21952612439240632,0,0.00912334192822207,0.08714015966445025,-0.11899105478778385,0.10724423500132314,0.1528873100995741,26
